internal_drug_id,entity_status,name_candidate,name_source,name_resolution_status,rxnorm_match_status,rxnorm_match_method,rxcui,rxnorm_name,rxnorm_synonym,rxnorm_tty,rxnorm_language,match_score,enrichment_confidence,api_status,error_message
DRUG_000131,CONFIRMED_INTEGRATED_ENTITY,acarbose,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,16681,acarbose,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000132,CONFIRMED_INTEGRATED_ENTITY,venlafaxine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,39786,venlafaxine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000133,CONFIRMED_INTEGRATED_ENTITY,travoprost,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,283809,travoprost,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000134,CONFIRMED_INTEGRATED_ENTITY,amcinonide,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,17652,amcinonide,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000135,CONFIRMED_INTEGRATED_ENTITY,atomoxetine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,38400,atomoxetine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000136,CONFIRMED_INTEGRATED_ENTITY,bleomycin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,1622,bleomycin,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000137,CONFIRMED_INTEGRATED_ENTITY,chlorambucil,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,2346,chlorambucil,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000138,CONFIRMED_INTEGRATED_ENTITY,etomidate,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,4177,etomidate,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000139,CONFIRMED_INTEGRATED_ENTITY,raltitrexed,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,196239,raltitrexed,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000140,CONFIRMED_INTEGRATED_ENTITY,etonogestrel,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,14584,etonogestrel,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000141,CONFIRMED_INTEGRATED_ENTITY,"Morphinan-3,6alpha-diol, 7,8-didehydro-4,5alpha-epoxy-17-methyl-",pubchem_cid_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,32926,paregoric,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000142,CONFIRMED_INTEGRATED_ENTITY,ropivacaine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,35780,ropivacaine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000143,AMBIGUOUS_MAPPING_COMPONENT,bupivacaine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,1815,bupivacaine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000144,AMBIGUOUS_MAPPING_COMPONENT,Levobupivacaine,pubchem_inchikey_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,1815,bupivacaine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000145,AMBIGUOUS_MAPPING_COMPONENT,Bupivacaine (USAN:INN:BAN),pubchem_cid_lookup,PUBCHEM_TITLE_CANDIDATE,NO_MATCH,none,,,,,,0.0,NO_MATCH,success,
DRUG_000146,CONFIRMED_INTEGRATED_ENTITY,dapiprazole,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,22298,dapiprazole,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000147,CONFIRMED_INTEGRATED_ENTITY,tenofovir disoproxil,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,300195,tenofovir disoproxil,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000148,CONFIRMED_INTEGRATED_ENTITY,floxacillin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,4448,floxacillin,flucloxacillin,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000149,CONFIRMED_INTEGRATED_ENTITY,tranexamic acid,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,10691,tranexamic acid,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000150,CONFIRMED_INTEGRATED_ENTITY,ertapenem,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,325642,ertapenem,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000151,CONFIRMED_INTEGRATED_ENTITY,desogestrel,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,22656,desogestrel,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000152,CONFIRMED_INTEGRATED_ENTITY,mitomycin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,632,mitomycin,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000153,CONFIRMED_INTEGRATED_ENTITY,bexarotene,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,233272,bexarotene,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000154,CONFIRMED_INTEGRATED_ENTITY,ibutilide,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,41289,ibutilide,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000155,CONFIRMED_INTEGRATED_ENTITY,vindesine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,11204,vindesine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000156,CONFIRMED_INTEGRATED_ENTITY,chlorthalidone,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,2409,chlorthalidone,chlortalidone,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000157,CONFIRMED_INTEGRATED_ENTITY,pentobarbital,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,8004,pentobarbital,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000158,CONFIRMED_INTEGRATED_ENTITY,Valproic Acid,pubchem_cid_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,11118,valproic acid,,PIN,ENG,100.0,HIGH_EXACT,success,
DRUG_000159,CONFIRMED_INTEGRATED_ENTITY,capreomycin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,78903,capreomycin,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000160,CONFIRMED_INTEGRATED_ENTITY,zolmitriptan,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,135775,zolmitriptan,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000161,CONFIRMED_INTEGRATED_ENTITY,acetaminophen,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,161,acetaminophen,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000162,CONFIRMED_INTEGRATED_ENTITY,gefitinib,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,328134,gefitinib,,IN,ENG,100.0,HIGH_EXACT,success,
