internal_drug_id,query_name,candidate_rxcui,candidate_name,candidate_tty,match_method,match_score,selected_as_final,selection_reason
DRUG_000347,6-aminocaproic acid,99,6-aminocaproic acid,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000352,trandolapril,38454,trandolapril,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000359,metolazone,6916,metolazone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000365,erlotinib,337525,erlotinib,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000366,Cyclophosphamide,3002,cyclophosphamide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000367,cefdinir,25037,cefdinir,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000368,ciprofloxacin,2551,ciprofloxacin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000370,nortriptyline,7531,nortriptyline,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000371,vincristine,11202,vincristine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000372,benazepril,18867,benazepril,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000373,amoxapine,722,amoxapine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000374,fluorouracil,4492,fluorouracil,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000375,pyridostigmine,9000,pyridostigmine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000378,azelaic acid,18602,azelaic acid,PIN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000379,zafirlukast,114970,zafirlukast,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000380,propylthiouracil,8794,propylthiouracil,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000385,lamotrigine,28439,lamotrigine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000387,hydroxyzine,5553,hydroxyzine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000388,Bosentan,75207,bosentan,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000392,methotrexate,6851,methotrexate,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000393,carbamazepine,2002,carbamazepine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000397,fondaparinux,321208,fondaparinux,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000398,vinblastine,11198,vinblastine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000399,propranolol,8787,propranolol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000401,clonidine,2599,clonidine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000403,valacyclovir,73645,valacyclovir,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000406,voriconazole,121243,voriconazole,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000408,enalapril,3827,enalapril,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000409,nizatidine,42319,nizatidine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000413,doxazosin,49276,doxazosin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000414,fluocinolone acetonide,4461,fluocinolone acetonide,PIN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000416,ethosuximide,4135,ethosuximide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000417,amiloride,644,amiloride,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000420,labetalol,6185,labetalol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000422,linezolid,190376,linezolid,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000423,ivermectin,6069,ivermectin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000426,sulindac,10237,sulindac,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000429,chloroquine,2393,chloroquine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000432,butorphanol,1841,butorphanol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000433,bisoprolol,19484,bisoprolol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000439,imatinib,282388,imatinib,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000440,triamcinolone,10759,triamcinolone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000441,oxandrolone,7779,oxandrolone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000443,fluphenazine,4496,fluphenazine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000444,testosterone,10379,testosterone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000445,efavirenz,195085,efavirenz,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000450,Alendronic Acid,236083,alendronic acid,PIN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000451,clofarabine,44151,clofarabine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000454,prednisone,8640,prednisone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000458,adenosine,296,adenosine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000459,simvastatin,36567,simvastatin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000460,pemetrexed,68446,pemetrexed,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000465,mitotane,7004,mitotane,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000466,stavudine,59763,stavudine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000469,pentazocine,8001,pentazocine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000471,latanoprost,43611,latanoprost,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000473,trazodone,10737,trazodone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000475,sevelamer,214824,sevelamer,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000477,verapamil,11170,verapamil,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000483,epinephrine,3992,epinephrine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000484,sumatriptan,37418,sumatriptan,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000487,chlorpropamide,2404,chlorpropamide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000489,galantamine,4637,galantamine,IN,exact_name_lookup,100.0,1,Top matching score candidate
