internal_drug_id,name_candidate,failure_type,failure_stage,error_message
DRUG_001732,2-O-Sulfohexopyranuronosyl-(1->4)-2-deoxy-3-O-sulfo-2-(sulfoamino)hexopyranosyl-(1->4)-2-O-sulfohexopyranuronosyl-(1->4)-2-acetamido-2-deoxy-6-O-sulfohexopyranose,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001733,Nicotinate,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001735,1-(2-Deoxypentofuranosyl)-4-hydroxy-5-methylpyrimidin-2(1H)-one,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001736,Doxorubicin (Adriamycin) HCl,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001737,"[2-[4-[(2-Butylbenzofuran-3-yl)carbonyl]-2,6-diiodophenoxy]ethyl]diethylaminium",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001738,"6-{[Amino(phenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001739,"1-[5-Carbamimidamido-2-(3-methyl-1,2,3,4-tetrahydroquinoline-8-sulfonamido)pentanoyl]-4-methylpiperidine-2-carboxylic acid",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001741,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[4-[20-(2-amino-2-oxoethyl)-5-(3-aminopropyl)-11-benzyl-8-butan-2-yl-17-(carboxymethyl)-14-(1H-imidazol-5-ylmethyl)-3,6,9,12,15,18,21-heptaoxo-1,4,7,10,13,16,19-heptazacyclohenicos-2-yl]butylamino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001742,"9-Chloro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001744,"3-{[(5-methyl-1,3,4-thiadiazol-2-yl)sulfanyl]methyl}-8-oxo-7-[(1H-tetrazol-1-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001745,"3-(Acetyloxymethyl)-7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",NO_MATCH,matching,No matching concept found in RxNorm API.
